Precio;Direccion;Superficie;Dormitorios;Baños;Link;Comuna;Valor UF;Valor Pesos
"Desde
UF 3.047";San Diego 364, Santiago;34 - 59 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/8263-concepto-best-too-nva#position=36&type=item&tracking_id=faa10ebf-5b96-435e-b05d-218b29373a8f;Santiago, RM (Metropolitana);UF 3.047;7
"Desde
UF 3.080";Santa Elena 1346, Santiago;32 - 59 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/8455-concepto-hometown-nva#position=34&type=item&tracking_id=faa10ebf-5b96-435e-b05d-218b29373a8f;Santiago, RM (Metropolitana);UF 3.080;0
"Desde
UF 3.084";Domingo Faustino Sarmiento 338, Ñuñoa;28 - 56 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/8860-nunoa-point-nva#position=20&type=item&tracking_id=69e2f639-8fa2-4031-a162-d8367205f002;Ñuñoa, RM (Metropolitana);UF 3.084;4
"Desde
UF 3.103";Juan Sabaj 15, Esq. Irarrázaval, Ñuñoa;30 - 47 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/9534-edificio-quartz-nva#position=9&type=item&tracking_id=69e2f639-8fa2-4031-a162-d8367205f002;Ñuñoa, RM (Metropolitana);UF 3.103;3
"Desde
UF 3.190";Av. José Pedro Alessandri 433, Ñuñoa;31 - 59 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/8954-sinergia-jose-pedro-alessandri-nva#position=36&type=item&tracking_id=149e246a-34b4-4f90-8727-b2c9224fd34a;Ñuñoa, RM (Metropolitana);UF 3.190;0
"Desde
UF 3.190";Pedro De Valdivia 2793, Esq Sucre, Ñuñoa;28 - 111 m² útiles ; 1 - 3 dormitorios  ; 1 - 3 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/8579-pedro-de-valdivia-nva#position=30&type=item&tracking_id=149e246a-34b4-4f90-8727-b2c9224fd34a;Ñuñoa, RM (Metropolitana);UF 3.190;0
"Desde
UF 3.240";Chile España 451, Ñuñoa;30 - 78 m² útiles ; 1 - 3 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/8557-campoamor-nva#position=20&type=item&tracking_id=149e246a-34b4-4f90-8727-b2c9224fd34a;Ñuñoa, RM (Metropolitana);UF 3.240;0
"Desde
UF 3.315";Pedro De Oña 55, Ñuñoa;35 - 67 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/8902-concepto-smart-too-nva#position=44&type=item&tracking_id=69e2f639-8fa2-4031-a162-d8367205f002;Ñuñoa, RM (Metropolitana);UF 3.315;5
"Desde
UF 3.335";Av. Las Tranqueras 141, Las Condes;29 - 55 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/9558-ciudad-tranqueras-nva#position=6&type=item&tracking_id=699f36d6-95c4-4ee0-82df-62ba498e1f35;Las Condes, RM (Metropolitana);UF 3.335;5
"Desde
UF 3.368";Tomás Moro 985, Las Condes;30 - 66 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/7139-plaza-atenas-nva#position=9&type=item&tracking_id=699f36d6-95c4-4ee0-82df-62ba498e1f35;Las Condes, RM (Metropolitana);UF 3.368;8
